feature,max_rel_diff,mean_rel_diff
w000,3.2943458969595234e-10,5.8153318005532394e-11
w100,4.878961794925446e-10,1.0309831083413335e-10
w200,3.643267855478798e-06,1.6068095195665748e-06
w300,196.7271959459489,13.289854052122257
w010_0,9.700173816060981e-07,4.9162534899650416e-09
w010_1,2.31598716393336e-06,1.1029454982207241e-08
w010_2,1.198068791986454e-06,8.784434363117557e-09
w110_0,4.969209526232714e-10,8.906115812663305e-11
w110_1,4.946634538845303e-10,9.650835122270519e-11
w110_2,4.707322815260522e-10,8.936504182481416e-11
w210_0,0.003517168223890809,1.0519149754655854e-05
w210_1,0.0017419050771525614,1.2287574270416788e-05
w210_2,0.7250100818963645,0.0004891600219092783
w310_0,1.421193978283619e-09,1.0938786969340069e-10
w310_1,3.8280431644530303e-08,1.4144672038881693e-10
w310_2,5.1870239711944466e-09,9.760259761512013e-11
w020_00,4.888935734598348e-10,9.593484232677302e-11
w020_01,4.757834391586864e-10,9.564118552339208e-11
w020_02,4.5453712373229285e-10,9.233551427886826e-11
w020_11,4.4798188535638623e-10,9.943894619671054e-11
w020_12,4.765456634004215e-10,1.0478053442963987e-10
w020_22,4.898287267662864e-10,9.072442615090484e-11
w120_00,4.679562288329946e-10,9.574493267845963e-11
w120_01,4.606596736694937e-10,1.0399488727107165e-10
w120_02,4.764017524776085e-10,1.0661110501433516e-10
w120_11,4.891224874535508e-10,8.855387356498166e-11
w120_12,4.712484402643211e-10,8.171980459918936e-11
w120_22,4.834684515029145e-10,9.597778126153544e-11
w220_00,3.21257872625241e-06,1.1165826492456655e-06
w220_01,0.00045513393862461703,3.2076095129531892e-06
w220_02,0.0014063062230086326,6.522944781507979e-06
w220_11,3.129532083614343e-06,9.833325880429925e-07
w220_12,8.616568798349676e-05,1.253556424525912e-06
w220_22,2.684437115859374e-06,1.0031921731453537e-06
w320_00,4.946056071993149e-10,7.797157098383768e-11
w320_01,1.5848810999351397e-09,9.06866369440093e-11
w320_02,4.662787674373665e-10,1.0177447159084339e-10
w320_11,4.746922211440279e-10,1.3159993729767307e-10
w320_12,4.697908905787644e-10,8.177278531275308e-11
w320_22,4.810775683290262e-10,1.3399283866019768e-10
w102_00,2.813343372818321e-10,7.44818079923514e-11
w102_01,5.501900564288077e-10,8.671404605774672e-11
w102_02,5.001253577841135e-10,8.779633099489167e-11
w102_11,3.418501428205002e-10,8.718573059073897e-11
w102_12,4.929819560418671e-10,7.559422739299468e-11
w102_22,4.4202522287302045e-10,9.162629501464142e-11
w202_00,4.1175714941883855e-06,1.5281930508797043e-06
w202_01,0.06364994817991619,6.390858741419817e-05
w202_02,99.99999910905301,0.06318822980118781
w202_11,4.952970146359151e-06,2.050205790742692e-06
w202_12,0.00042611205008524024,7.644756635050041e-06
w202_22,3.794899436941408e-06,1.2721041318783722e-06
w020_EVal1,4.779404370007417e-10,9.394127580705521e-11
w020_EVal2,4.885708807972273e-10,1.1549293709850625e-10
w020_EVal3,4.780510784912252e-10,7.93012736876245e-11
w120_EVal1,4.770413361119123e-10,1.1983035538231783e-10
w120_EVal2,4.5325570703266844e-10,7.81606543034352e-11
w120_EVal3,4.717661897497534e-10,1.234696677045683e-10
w220_EVal1,1.8699037724774405e-06,8.049790108172483e-07
w220_EVal2,2.9803608056453484e-06,9.134044879462005e-07
w220_EVal3,2.8615321256823405e-06,1.0405327567159767e-06
w320_EVal1,4.572020099290377e-10,9.49922415323797e-11
w320_EVal2,4.737450238031057e-10,8.697604754940913e-11
w320_EVal3,4.461482669906963e-10,1.2001238123407834e-10
w102_EVal1,4.34498128164819e-10,1.2645685999373418e-10
w102_EVal2,4.5678560892237517e-10,9.245089317475592e-11
w102_EVal3,3.18282425961712e-10,5.7187841458250814e-11
w202_EVal1,3.153547754532251e-06,1.2366377127769157e-06
w202_EVal2,5.2236246007839296e-06,1.3704724799564968e-06
w202_EVal3,6.389295290186348e-06,2.0781026548693126e-06
w103_000,1.2580305218608024e-09,1.1056527592673139e-10
w103_001,74.41499984555773,0.04697916667358273
w103_002,4.71621202149356e-10,1.1233532131806222e-10
w103_010,49.21999979400426,0.031073232297602078
w103_011,3.480846860740935e-09,1.1560154221902082e-10
w103_012,4.735532872613643e-10,9.100109818456334e-11
w103_020,4.71621202149356e-10,1.123431228928461e-10
w103_021,4.735532872613643e-10,9.100113122982711e-11
w103_022,4.802312393901703e-10,1.093249792804898e-10
w103_100,48.829999691115454,0.03082702011145815
w103_101,3.480846860740935e-09,1.155830357825378e-10
w103_102,4.735532872613643e-10,9.100134190891949e-11
w103_110,3.409558572970598e-09,1.155435640588238e-10
w103_111,4.795356818014491e-10,1.0446193253052244e-10
w103_112,104.46166976837465,0.0659480239284691
w103_120,4.735532872613643e-10,9.100482701963847e-11
w103_121,103.71819100620176,0.0654786560230594
w103_122,4.6023199339153403e-10,8.632605227193712e-11
