feature,max_rel_diff,mean_rel_diff
w103_200,4.71621202149356e-10,1.123397330715551e-10
w103_201,4.735532872613643e-10,9.100564062239733e-11
w103_202,4.802312393901703e-10,1.0932799911859362e-10
w103_210,4.735532872613643e-10,9.100426707433105e-11
w103_211,105.20793472751078,0.06641915079661138
w103_212,4.6023199339153403e-10,8.63297372142034e-11
w103_220,4.802312393901703e-10,1.0932549725675865e-10
w103_221,4.6023199339153403e-10,8.633482566582973e-11
w103_222,4.947142140643684e-10,1.0275359742724576e-10
w104_EVal0,4.4085192948404594e-10,5.3145035505222e-11
w104_EVal1,4.717382763380642e-10,5.6078710904265173e-11
w104_EVal2,4.907785118292055e-10,1.2338396891850394e-10
w104_EVal3,4.953397586696804e-10,1.5143303272389355e-10
w104_EVal4,4.339505766439719e-10,1.3477685430994044e-10
w104_EVal5,3.789733015882954e-10,7.109819954498324e-11
msm_ql_0,4.440892098500626e-14,5.34084561088617e-15
msm_ql_1,99.33292726850816,88.1656307834556
msm_ql_2,3.7407368233750305e-10,1.1396469057399216e-10
msm_ql_3,4.938659574521284e-10,6.842561876579138e-11
msm_ql_4,3.969571651662747e-10,1.2754513742403601e-10
msm_ql_5,4.781209863414506e-10,5.091666197422929e-11
msm_ql_6,4.825680637333719e-10,1.556785486629778e-10
msm_ql_7,2.3508759391687084e-10,5.715803720979466e-11
msm_ql_8,1.0130275084624092e-10,4.742023287629885e-11
msm_wl_0,7.771561172376096e-14,5.242018940133552e-14
msm_wl_1,100.0,98.98989898989899
msm_wl_2,2.8646867859671665e-09,1.3323812329320304e-10
msm_wl_3,100.0,100.0
msm_wl_4,4.82510654200066e-10,1.3598269681160008e-10
msm_wl_5,100.0,100.0
msm_wl_6,2.687479287267255e-09,7.814613477517903e-11
msm_wl_7,100.0,100.0
msm_wl_8,2.884191896605291e-10,1.2756487280581443e-10
