subdivision,n_vertices,t_py_parse,t_py_compute,t_py_total,t_accel_parse,t_accel_compute,t_accel_total,t_kara_x,t_kara_y
5,10242,0.0190716659999452,0.1014958750165533,0.1205675410164985,0.0191199170076288,0.0794810409715864,0.0986009579792153,0.200024,0.200024
6,40962,0.0721920420182868,0.431927416997496,0.5041194590157829,0.0680401250137947,0.3297395409899764,0.3977796660037711,0.740378,0.740378
7,163842,0.2845687499793712,1.707901125017088,1.9924698749964591,0.2752363329927902,1.2979674579983111,1.5732037909911014,2.843293,2.843293
8,655362,1.1177150839939711,6.7459641250025015,7.863679208996473,1.0818190420104656,5.617419041984249,6.6992380839947145,12.317813,12.317813
9,2621442,4.408054750005249,28.68151645900798,33.08957120901323,4.3648752919980325,23.371131374995457,27.73600666699349,48.361936,48.361936
10,10485762,21.171963208005764,127.95028862499748,149.12225183300325,20.143251584027897,114.15514766599516,134.29839925002307,208.206287,208.206287
