mesh_id,shape,w000,w100,w200,w300,w010_0,w010_1,w010_2,w110_0,w110_1,w110_2,w210_0,w210_1,w210_2,w310_0,w310_1,w310_2,w020_00,w020_01,w020_02,w020_11,w020_12,w020_22,w020_EVal1,w020_EVal2,w020_EVal3,w120_00,w120_01,w120_02,w120_11,w120_12,w120_22,w120_EVal1,w120_EVal2,w120_EVal3,w220_00,w220_01,w220_02,w220_11,w220_12,w220_22,w220_EVal1,w220_EVal2,w220_EVal3,w320_00,w320_01,w320_02,w320_11,w320_12,w320_22,w320_EVal1,w320_EVal2,w320_EVal3,w102_00,w102_01,w102_02,w102_11,w102_12,w102_22,w102_EVal1,w102_EVal2,w102_EVal3,w202_00,w202_01,w202_02,w202_11,w202_12,w202_22,w202_EVal1,w202_EVal2,w202_EVal3,msm_ql_0,msm_ql_1,msm_ql_2,msm_ql_3,msm_ql_4,msm_ql_5,msm_ql_6,msm_ql_7,msm_ql_8,msm_ql_9,msm_ql_10,msm_ql_11,msm_wl_0,msm_wl_1,msm_wl_2,msm_wl_3,msm_wl_4,msm_wl_5,msm_wl_6,msm_wl_7,msm_wl_8,msm_wl_9,msm_wl_10,msm_wl_11
torus_R3.0_r1.0_n016,torus,56.235498012677425,38.60015325439018,19.612618364864893,-3.708144902248023e-14,2.0816681711721685e-15,1.2125717097077882e-15,-4.718447854656915e-16,-3.2751579226442118e-15,5.620504062164855e-15,-5.221517662690189e-16,1.942890293094024e-15,-3.58046925441613e-15,-1.0864882583026814e-09,-4.718447854656915e-16,4.163336342344337e-16,-4.345482307321902e-16,266.6704530634902,-1.278924882663901e-15,0.0,266.6704530634902,0.0,13.702151803342215,13.702151803342215,266.6704530634902,266.6704530634902,196.92282344418157,-1.6653345369377348e-16,0.0,196.92282344418163,0.0,18.72150919784736,18.72150919784736,196.92282344418157,196.92282344418163,109.86701434561999,-2.498001859173342e-16,0.0,109.86701434561998,0.0,9.89900967133645,9.89900967133645,109.86701434561998,109.86701434561999,19.580898944226384,-3.0357660829444043e-17,0.0,19.580898944226384,0.0,1.1979401151607227e-10,1.1979401151607227e-10,19.580898944226384,19.580898944226384,9.790449471969996,9.259086553026208e-17,0.0,9.790449471969996,0.0,19.01925431045019,9.790449471969996,9.790449471969996,19.01925431045019,4.9031545889598105,1.882656068341089e-17,-2.42861286636753e-17,4.9031545889598105,7.632783294297951e-17,9.806309186945272,4.90315458895981,4.9031545889598105,9.806309186945272,0.9999999999999999,1.8089432612114134e-17,0.23908725899761954,1.3202124651336918e-17,0.13617451017642274,3.9282562954267175e-17,0.09471481449836261,8.386132021956121e-17,0.07255946063855477,0.0,0.0,0.0,0.9999999999999997,0.0,-0.1483827531853913,0.0,0.06970044642376191,0.0,-0.0429211633721957,0.0,0.030077918209062575,0.0,0.0,0.0
torus_R3.0_r1.0_n048,torus,58.88017217330191,39.37988724843359,19.725118964434678,-1.1819364931220377e-13,1.3340023530261647e-15,3.446373774470407e-15,6.166941957097549e-16,1.1102230246251565e-15,1.7165088794790506e-15,-1.2197274440461925e-16,2.5673907444456745e-16,-7.196500340089784e-15,1.712645917109363e-08,-8.81239525796218e-16,1.5844530548703162e-15,-3.6422416731934915e-15,286.1594948448769,0.0,0.0,286.1594948448769,0.0,14.678065707308985,14.678065707308985,286.1594948448769,286.1594948448769,206.08653838085928,0.0,0.0,206.08653838085928,0.0,19.623303023396343,19.623303023396343,206.08653838085928,206.08653838085928,113.09075364394172,0.0,0.0,113.09075364394172,0.0,9.873098891974587,9.873098891974587,113.09075364394172,113.09075364394172,19.721595755895102,2.220446049250313e-16,0.0,19.721595755895102,0.0,-1.4454496627402946e-11,-1.4454496627402946e-11,19.721595755895102,19.721595755895102,9.860797878018346,0.0,0.0,9.860797878018346,0.0,19.658291492396902,9.860797878018346,9.860797878018346,19.658291492396902,4.931279738882734,-8.391724815037804e-17,7.806255641895632e-18,4.931279738882734,-7.806255641895632e-18,9.862559486669207,4.931279738882734,4.931279738882734,9.862559486669207,0.9999999999999999,1.5269206558608815e-17,0.24879435414757997,1.9929669318196757e-17,0.14012382521717823,1.4785862302162416e-17,0.09732710993198766,1.3809393756025965e-17,0.07452117857331864,0.0,0.0,0.0,0.9999999999999997,0.0,-0.1544071875689819,0.0,0.07172188950479158,0.0,-0.04410495663280542,0.0,0.030891104953724324,0.0,0.0,0.0
torus_R3.0_r1.0_n064,torus,59.02761860146697,39.42296503040053,19.73128253378064,-1.5659045241034342e-13,1.2501865861991313e-12,-3.023816685934701e-12,9.166278847061449e-15,4.851639923142415e-13,-1.191936306599306e-12,3.0407534129528457e-15,-1.072348727176875e-09,3.0428261352634725e-09,1.537592212377142e-08,1.0450841581022274e-14,-2.9242342054758286e-14,3.253907560063496e-15,287.2622880055526,-3.552713678800501e-15,5.551115123125783e-17,287.2622880055526,-2.531308496145357e-14,14.733218473779022,14.73321847377902,287.2622880055526,287.2622880055529,206.59984414560125,0.0,-6.938893903907228e-18,206.59984414560125,-9.742207041085749e-15,19.673923444011407,19.67392344401142,206.59984414560125,206.59984414560125,113.26981030011402,0.0,3.222496427319725e-09,113.26981030011402,-6.834336850514097e-09,9.871577094911313,9.871577094911316,113.26981030011402,113.26981030011402,19.729300752316952,0.0,-4.398554003665067e-15,19.729300752316952,1.1669755873439103e-14,-1.517097905634479e-11,-1.517364012215694e-11,19.729300752316952,19.729300752316952,9.864650376002565,-2.220446049250313e-16,-2.168404344971009e-19,9.864650376002565,-2.168404344971009e-19,19.693664278395403,9.864650376002562,9.864650376002565,19.693664278395406,4.9328206360281985,5.492839256354687e-17,3.310492037428671e-10,4.9328206360281985,-7.33150699912667e-10,9.865641261724244,4.9328206360281985,4.932820636028202,9.865641261724246,1.0,1.6177742368363275e-17,0.24932203589489815,4.2253525254131496e-14,0.14034288735640268,1.457752083157422e-13,0.09747103647114755,2.5145685128735634e-13,0.07462914569708225,0.0,0.0,0.0,0.9999999999999998,0.0,-0.1547346783386742,0.0,0.07183401569403733,0.0,-0.04417017868421938,0.0,0.030935860334886902,0.0,0.0,0.0
torus_R3.0_r1.0_n096,torus,59.133118184089255,39.45376272586894,19.73568582628866,1.0316747456329267e-13,-1.5463948481106438e-14,2.7265575525971773e-15,-4.088526392442837e-16,2.371540464007893e-14,2.6561869023722373e-15,1.4304692413230624e-16,-3.209238430557093e-17,2.7122238916571506e-14,3.0814567893323926e-08,1.3808398868775384e-15,3.80934433302782e-16,1.2663345849359131e-14,288.05239748862164,0.0,0.0,288.05239748862164,0.0,14.77272883391562,14.77272883391562,288.05239748862164,288.05239748862164,206.96727565315794,0.0,0.0,206.96727565315794,0.0,19.71016499868501,19.71016499868501,206.96727565315794,206.96727565315794,113.3978851945585,0.0,0.0,113.3978851945585,0.0,9.870483437766987,9.870483437766987,113.3978851945585,113.3978851945585,19.734804998392256,-2.220446049250313e-16,0.0,19.734804998392256,0.0,1.0937438454927673e-11,1.0937438454927673e-11,19.734804998392256,19.734804998392256,9.867402499232984,0.0,0.0,9.867402499232984,0.0,19.718957727402973,9.867402499232984,9.867402499232984,19.718957727402973,4.9339214465479735,2.6725583551767684e-17,-1.951563910473908e-18,4.9339214465479735,-3.0357660829594124e-18,9.867842933192708,4.9339214465479735,4.9339214465479735,9.867842933192708,1.0,1.7623326990256648e-17,0.2496987498155796,1.5965786297832656e-17,0.14049955263182226,1.1545087792986004e-17,0.09757390998219505,1.5759948814369884e-17,0.07470630932339775,0.0,0.0,0.0,0.9999999999999998,0.0,-0.15496847519154006,0.0,0.07191420426693323,0.0,-0.044216797059578365,0.0,0.030967846808058107,0.0,0.0,0.0
torus_R3.0_r1.0_n128,torus,59.17007865214741,39.464547405783925,19.737227203356753,-8.485660091261948e-14,3.0673175859061846e-13,-7.503606899959893e-13,5.757655636984271e-16,1.2470840332623467e-13,-2.9378512426611603e-13,6.662761163102326e-17,-1.1025936491951271e-09,2.48620860783034e-09,-2.595101681716447e-08,4.825350188863986e-15,-3.0966982450530978e-15,-4.982558318028258e-14,288.3294093423184,3.552713678800501e-15,4.163336342344337e-17,288.3294093423184,-1.5543122344752192e-15,14.786580250464727,14.786580250464727,288.32940934231823,288.3294093423184,207.09603137435664,0.0,1.0408340855860843e-17,207.09603137435664,-6.036837696399289e-16,19.722866128502385,19.722866128502375,207.09603137435664,207.09603137435664,113.4427464924533,0.0,1.062202969886049e-09,113.4427464924533,-2.3940792652786854e-09,9.870099328821915,9.870099328821908,113.4427464924533,113.4427464924533,19.736731618115495,-1.1102230246251565e-16,-2.127475712959681e-15,19.736731618115495,5.536993389829159e-15,-1.4059867853299934e-11,-1.4058976205433282e-11,19.736731618115492,19.736731618115495,9.868365809057256,0.0,4.336808689942018e-19,9.868365809057256,-8.673617379884035e-19,19.727815787669414,9.868365809057256,9.868365809057256,19.727815787669414,4.934306811239326,-3.2187251995663413e-19,8.677853022346889e-11,4.934306811239326,-1.9554473290579006e-10,9.868613580878101,4.934306811239324,4.934306811239326,9.868613580878097,0.9999999999999999,1.9331978950856826e-17,0.249830560001992,1.0526251554763937e-14,0.140554423256227,3.665113572303685e-14,0.09760992917411952,6.413977994625014e-14,0.07473332503635394,0.0,0.0,0.0,0.9999999999999996,0.0,-0.15505027946015623,0.0,0.07194228960398792,0.0,-0.04423311959190145,0.0,0.03097904557383592,0.0,0.0,0.0
holey_slab_W6.0_D4.0_H1.5_n002,holey_slab,30.0,29.33333333333333,15.184364492350664,-4.18879020478641,0.0,0.0,22.5,-4.440892098500626e-16,4.3021142204224816e-16,22.0,3.3306690738754696e-16,-4.3021142204224816e-16,11.388273369262992,8.326672684688674e-17,-3.747002708109903e-15,-3.141592653589806,94.0,0.0,0.0,46.0,0.0,22.5,22.5,46.0,94.0,110.44444444444443,2.220446049250313e-16,-2.220446049250313e-16,53.11111111111111,-4.440892098500626e-16,27.0,27.000000000000004,53.111111111111086,110.44444444444443,78.19075048934594,5.551115123125783e-17,0.0,37.350045992678645,5.551115123125783e-17,17.671458676442587,17.671458676442587,37.350045992678645,78.19075048934594,16.755160819145466,-4.6629367034256575e-15,-9.992007221626409e-16,8.37758040957273,-6.439293542825908e-15,-4.7123889803847145,-4.7123889803847145,8.377580409572735,16.755160819145466,8.0,0.0,0.0,8.0,0.0,13.333333333333332,8.0,8.0,13.333333333333332,3.403392041388942,6.938893903907228e-18,0.0,3.4033920413889422,0.0,8.377580409572783,3.403392041388942,3.4033920413889422,8.377580409572783,1.0,4.639195946746767e-17,0.18181818181818174,1.0264580072131438e-16,0.7727272727272727,1.7077156523157374e-16,0.39233355685527443,2.334344229202903e-16,0.7291346903653779,0.0,0.0,0.0,0.9999999999999997,0.0,-0.1128403182605915,0.0,0.4159155250936578,0.0,-0.09906743021616936,0.0,0.28506602853464774,0.0,0.0,0.0
holey_slab_W6.0_D4.0_H1.5_n004,holey_slab,30.0,29.333333333333332,15.184364492350666,-4.188790204786505,0.0,0.0,22.5,-3.3306690738754696e-16,1.3877787807814457e-17,22.0,7.494005416219807e-16,-3.608224830031759e-16,11.388273369263015,5.273559366969494e-16,-8.326672684688674e-15,-3.14159265358984,94.0,0.0,0.0,46.0,0.0,22.5,22.5,46.0,94.0,110.44444444444443,-2.220446049250313e-16,5.551115123125783e-17,53.111111111111114,0.0,27.0,26.999999999999996,53.11111111111114,110.44444444444443,78.19075048934596,5.551115123125783e-17,-4.440892098500626e-16,37.350045992678645,8.673617379884035e-17,17.671458676442583,17.67145867644259,37.35004599267866,78.19075048934596,16.755160819145033,-2.886579864025407e-15,-4.440892098500626e-16,8.377580409572492,-1.3322676295501878e-14,-4.712388980384805,-4.712388980384806,8.377580409572492,16.755160819145033,8.0,0.0,0.0,8.0,0.0,13.333333333333334,8.0,8.0,13.333333333333334,3.4033920413889422,1.3877787807814457e-17,0.0,3.4033920413889422,0.0,8.377580409572783,3.4033920413889422,3.4033920413889422,8.377580409572783,1.0,4.3477282732006564e-17,0.18181818181818174,9.93063489695473e-17,0.7727272727272727,1.6505425181840878e-16,0.39233355685527443,2.1613071009425526e-16,0.7291346903653779,0.0,0.0,0.0,0.9999999999999997,0.0,-0.1128403182605915,0.0,0.4159155250936578,0.0,-0.09906743021616932,0.0,0.28506602853464774,0.0,0.0,0.0
holey_slab_W6.0_D4.0_H1.5_n008,holey_slab,30.0,29.333333333333336,15.184364492350666,-4.188790204786934,0.0,0.0,22.5,-5.551115123125783e-17,1.1102230246251565e-16,22.0,8.743006318923108e-16,3.712308238590367e-16,11.388273369263075,2.3037127760972e-15,-1.6930901125533637e-14,-3.141592653589981,94.0,0.0,0.0,46.0,0.0,22.5,22.5,46.0,94.0,110.44444444444444,3.3306690738754696e-16,0.0,53.111111111111114,0.0,27.0,27.0,53.111111111111114,110.44444444444444,78.19075048934594,-2.220446049250313e-16,2.220446049250313e-16,37.35004599267865,-6.938893903907228e-18,17.671458676442583,17.671458676442583,37.35004599267863,78.19075048934594,16.7551608191431,-3.1086244689504383e-15,-6.661338147750939e-16,8.37758040957143,-2.5979218776228663e-14,-4.712388980385223,-4.712388980385223,8.37758040957143,16.7551608191431,8.0,0.0,0.0,8.0,0.0,13.333333333333332,8.0,8.0,13.333333333333332,3.403392041388942,1.5612511283791264e-17,0.0,3.4033920413889427,0.0,8.377580409572781,3.403392041388942,3.4033920413889427,8.377580409572781,0.9999999999999999,5.120498605793546e-17,0.18181818181818166,9.529569743514418e-17,0.7727272727272727,1.7666013637873366e-16,0.39233355685527443,2.2012839193628111e-16,0.7291346903653779,0.0,0.0,0.0,0.9999999999999996,0.0,-0.11284031826059145,0.0,0.4159155250936578,0.0,-0.09906743021616932,0.0,0.28506602853464774,0.0,0.0,0.0
holey_slab_W6.0_D4.0_H1.5_n016,holey_slab,30.0,29.33333333333333,15.184364492350666,-4.188790204788762,0.0,0.0,22.5,-8.326672684688674e-17,1.1362438767648086e-16,22.0,-6.453171330633722e-16,-7.45931094670027e-17,11.38827336926301,5.745404152435185e-15,-3.0142555118573e-14,-3.141592653590561,94.0,0.0,0.0,46.0,0.0,22.5,22.5,46.0,94.0,110.44444444444444,-1.3877787807814457e-17,-6.938893903907228e-17,53.11111111111111,0.0,27.0,26.999999999999993,53.111111111111086,110.44444444444444,78.19075048934594,-1.3877787807814457e-16,0.0,37.35004599267865,-3.885780586188048e-16,17.671458676442587,17.671458676442587,37.35004599267865,78.19075048934594,16.755160819134982,-4.6629367034256575e-15,2.220446049250313e-16,8.37758040956693,-5.284661597215745e-14,-4.712388980386969,-4.712388980386968,8.377580409566932,16.755160819134982,8.0,0.0,0.0,8.0,0.0,13.333333333333332,8.0,8.0,13.333333333333332,3.4033920413889422,-1.734723475976807e-18,-5.551115123125783e-17,3.4033920413889427,-1.1102230246251565e-16,8.377580409572781,3.4033920413889422,3.4033920413889436,8.377580409572783,0.9999999999999999,5.2568337053324757e-17,0.18181818181818166,9.688171109928209e-17,0.7727272727272727,1.750295196909699e-16,0.3923335568552744,2.2080075536091172e-16,0.7291346903653779,0.0,0.0,0.0,0.9999999999999996,0.0,-0.11284031826059145,0.0,0.4159155250936578,0.0,-0.09906743021616933,0.0,0.2850660285346478,0.0,0.0,0.0
holey_slab_W6.0_D4.0_H1.5_n032,holey_slab,30.0,29.333333333333332,15.184364492350666,-4.188790204796282,0.0,0.0,22.5,0.0,-1.6675029412827058e-16,22.0,1.870031907102998e-15,-6.826136877968736e-16,11.388273369263105,1.2850831510036187e-14,-5.98965321785272e-14,-3.1415926535929137,94.0,0.0,0.0,46.0,0.0,22.5,22.5,46.0,94.0,110.44444444444444,-6.938893903907228e-17,2.706168622523819e-16,53.111111111111114,0.0,27.0,27.0,53.1111111111111,110.44444444444444,78.19075048934594,5.516420653606247e-16,-4.440892098500626e-16,37.35004599267865,4.85722573273506e-16,17.671458676442583,17.671458676442583,37.350045992678666,78.19075048934594,16.755160819101686,-2.6645352591003757e-15,-5.551115123125783e-16,8.377580409548461,-1.0635936575909e-13,-4.712388980394129,-4.712388980394128,8.37758040954846,16.755160819101686,8.0,0.0,0.0,8.0,0.0,13.333333333333334,8.0,8.0,13.333333333333334,3.4033920413889422,-1.734723475976807e-18,0.0,3.4033920413889427,0.0,8.377580409572781,3.4033920413889422,3.4033920413889427,8.377580409572781,0.9999999999999999,5.31336131545643e-17,0.18181818181818166,9.81725781900057e-17,0.7727272727272727,1.7590212752369183e-16,0.3923335568552744,2.2196739676885365e-16,0.7291346903653781,0.0,0.0,0.0,0.9999999999999996,0.0,-0.11284031826059145,0.0,0.4159155250936578,0.0,-0.09906743021616933,0.0,0.2850660285346478,0.0,0.0,0.0
