feature,max_abs_diff,mean_abs_diff,max_val
w000,3.3337528293486685e-09,2.2692526645652254e-10,1222.5833333333337
w100,5.008757852920098e-10,2.4402809514963726e-10,315.1013758133259
w200,7.311070717719304e-07,2.550682639288123e-07,75.77208419380464
w300,4.558131649901043e-11,3.336154268001088e-12,25.132741228718366
w010_0,3.4770000463882345e-13,3.121592391699728e-14,0.00081458333642
w010_1,5.607000324106548e-13,4.147120190764712e-14,0.000782500000326
w010_2,4.5472682897221804e-13,3.283854723765243e-14,0.00083745833353
w110_0,4.944951115248841e-10,3.923784034605149e-11,352.0296966051302
w110_1,4.998241820430849e-10,3.87600231989689e-11,497.6997802121974
w110_2,4.802274133908213e-10,2.865639529822521e-11,410.24267903246624
w210_0,1.6633517674335963e-06,2.038904667730972e-07,205.411390366
w210_1,2.6370357986138515e-06,3.695010103610239e-07,160.666138694
w210_2,2.7126215478290305e-06,3.834874256106732e-07,146.5451986173908
w310_0,3.8181724448804744e-10,6.911470156580142e-12,131.912303813
w310_1,1.5859313862165436e-10,7.094224891221173e-12,141.9381524131586
w310_2,4.9896087261913635e-11,6.0953462789530555e-12,81.1279591158
w020_00,2.9431248549371958e-08,1.561217263212563e-09,10255.169497905194
w020_01,1.2680175132118165e-08,8.989495217238921e-10,13196.353232
w020_02,4.984030965715647e-09,6.766914580237943e-10,4980.834261002241
w020_11,4.943831299897283e-08,3.793726957719582e-09,44655.2483045
w020_12,4.8945366870611906e-08,2.6127921195854534e-09,21331.072656601664
w020_22,4.9665686674416065e-08,4.091642303311105e-09,26848.42385261938
w120_00,4.994035407435149e-09,9.900553418622213e-10,6897.22713324034
w120_01,4.993808033759706e-09,4.712128704557543e-10,6359.213521524403
w120_02,4.9456048145657405e-09,3.021357867527776e-10,3327.70982352
w120_11,4.753928806167096e-08,2.3474392171959088e-09,15175.1329147
w120_12,4.985395207768306e-09,1.8195752559001397e-09,9653.92123757
w120_22,3.7251083995215595e-08,2.4705831252856397e-09,13076.2774698
w220_00,1.3000963917875197e-05,1.5563599279423087e-06,2941.4211596693294
w220_01,8.835027074383106e-06,8.511643553276014e-07,2478.3840371323467
w220_02,1.0171997587349324e-05,7.087659226685553e-07,1029.3904720258884
w220_11,2.239503055534442e-05,3.135964114577524e-06,3961.0328989319023
w220_12,1.6123816749313846e-05,2.0276619249096495e-06,2724.7891806201915
w220_22,3.785837907344103e-05,3.40094617852967e-06,4243.1179894123725
w320_00,4.99198904435616e-10,1.0289571187237825e-10,854.3155932211578
w320_01,4.957598775945371e-10,5.2302872326194306e-11,881.27109005
w320_02,4.972662281943485e-10,2.9197478318628e-11,328.165146178
w320_11,5.001652425562497e-10,2.2510730849502407e-10,946.599764675
w320_12,4.994404889657744e-10,1.593913575235453e-10,751.6143655830235
w320_22,4.99554175803496e-10,2.2304768098439435e-10,1189.87054075
w102_00,4.877733772445936e-10,2.7393658609724695e-11,134.853064074
w102_01,5.006839387533546e-11,1.4660378357296994e-11,41.80098782780924
w102_02,5.0039972165905056e-11,9.08978159329202e-12,32.19369562551535
w102_11,4.713598400485353e-10,2.5915645611538788e-11,128.98268061308283
w102_12,4.9976023319686647e-11,1.974998475648948e-11,48.870388147825025
w102_22,3.453237695794087e-10,2.6681420260617893e-11,133.066397754
w202_00,3.2293202600897075e-07,8.825734625227275e-08,27.21319593311445
w202_01,2.2186879766739054e-07,3.501561312547356e-08,4.772654194824986
w202_02,1.480784960206094e-07,2.0060566596020994e-08,3.67790180755
w202_11,3.6625668897727337e-07,9.286682936061282e-08,23.18353388538482
w202_12,2.690728626575378e-07,3.532590040681392e-08,5.851859653689746
w202_22,2.9658180622504915e-07,7.436153304734622e-08,31.4010615039577
w020_EVal1,4.999265001970343e-09,4.5977563675495247e-10,6750.98566334
w020_EVal2,2.0476363715715706e-08,2.0292197036053896e-09,12854.398251020477
w020_EVal3,4.99130692332983e-08,8.433435893512252e-09,50083.6952391
w120_EVal1,4.998582880944014e-09,2.931659404574783e-10,2589.5460181
w120_EVal2,4.995172275812365e-09,1.4989778845784767e-09,7240.503713124406
w120_EVal3,4.987305146642029e-08,3.6155549037290496e-09,20920.235992040136
w220_EVal1,4.930200361741299e-06,6.285794339186272e-07,574.0867238533102
w220_EVal2,1.2282805528229801e-05,1.906695045776156e-06,2744.931789664189
w220_EVal3,4.281696965335868e-05,5.538343536760424e-06,6781.473023589089
w320_EVal1,4.801847808266757e-10,2.8584979779436864e-11,1672.919860710096
w320_EVal2,4.992841695639072e-10,1.597174183033524e-10,759.019704277
w320_EVal3,4.12319423048757e-09,2.596896480123072e-10,1679.33041306
w102_EVal1,5.0540904794615926e-11,2.5046940952265548e-11,73.5663851015
w102_EVal2,3.695959094329737e-10,2.493135664246548e-11,108.8998432803696
w102_EVal3,4.997104952053633e-10,6.264965426349347e-11,174.5923352570317
w202_EVal1,1.9473890766619206e-07,4.2557908304613086e-08,17.898428967221076
w202_EVal2,3.3895207529610616e-07,6.888473935987045e-08,23.80103737334889
w202_EVal3,5.822190125570614e-07,1.4416082221347274e-07,35.57629443255019
w103_000,4.3435477437014924e-11,2.3690233782484423e-12,12.309343434343436
w103_001,4.950706511408498e-12,1.6875868231566551e-12,9.15277777778
w103_002,4.950706511408498e-12,1.908085130913292e-12,7.76388888889
w103_010,4.951150600618348e-12,1.6875884494057032e-12,9.15277777778
w103_011,4.951594689828198e-12,1.8711064023805786e-12,8.18055555556
w103_012,4.950262422198648e-12,2.0100604534763924e-12,7.742424242424243
w103_020,4.950706511408498e-12,1.9080807886288335e-12,7.76388888889
w103_021,4.950262422198648e-12,2.0100601106932813e-12,7.742424242424243
w103_022,4.951594689828198e-12,1.994050292954782e-12,8.328282828282829
w103_100,4.950706511408498e-12,1.687579365411997e-12,9.15277777778
w103_101,4.951594689828198e-12,1.871098724531709e-12,8.18055555556
w103_102,4.950262422198648e-12,2.010057958716242e-12,7.742424242424243
